Family	A11	A12	A13	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	taxonomy
Nocardioidaceae	0.002533455	0.00321431	0.004330484	0.003150391	0.005159073	0.003247787	0.005162858	0.003258335	0.001053187	0.000709437	0.000300609	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae
Propionibacteriaceae	0.001069974	0.000954947	0.001515915	0.00334508	0.005098496	0.001550981	0.002003861	0.001185025	0.001064265	0.000749698	0.000432167	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae
Pseudonocardiaceae	2.64E-06	1.50E-05	3.25E-05	5.67E-06	1.11E-05	2.41E-06	2.01E-05	3.81E-05	3.52E-06	2.14E-06	5.07E-07	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Pseudonocardiales;f__Pseudonocardiaceae
Sporichthyaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Sporichthyales;f__Sporichthyaceae
Streptomycetaceae	9.32E-05	8.28E-05	9.32E-05	8.86E-05	0.000134614	0.000103766	0.000144595	8.21E-05	5.59E-05	3.75E-05	1.99E-05	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae
Nocardiopsaceae	7.62E-06	0	9.02E-06	2.01E-05	2.60E-05	0	2.40E-05	8.40E-06	2.01E-06	3.05E-06	1.18E-06	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptosporangiales;f__Nocardiopsaceae
Streptosporangiaceae	1.76E-06	4.01E-06	7.38E-06	4.37E-06	1.59E-05	4.83E-06	0	3.23E-06	3.27E-06	9.15E-07	6.76E-07	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae
Thermomonosporaceae	2.93E-06	0	0	1.75E-06	6.73E-06	2.41E-06	0	0	7.55E-07	9.15E-07	3.38E-07	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptosporangiales;f__Thermomonosporaceae
Atopobiaceae	2.93E-07	6.68E-07	0	1.18E-05	1.63E-05	0	1.62E-06	0	8.31E-06	0	5.07E-07	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae
Coriobacteriaceae	6.60E-05	0.000704278	8.34E-05	0.000110004	0.00317352	0.000185814	3.64E-05	0.000153543	9.57E-06	1.98E-05	9.12E-06	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae
Eggerthellaceae	1.11E-05	1.64E-05	1.28E-05	6.55E-06	7.26E-05	2.28E-05	5.85E-06	1.26E-05	2.52E-07	3.05E-06	5.07E-07	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae
Egibacteraceae	0	1.34E-06	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Egibacterales;f__Egibacteraceae
Egicoccaceae	0	0	0	0	8.17E-06	6.55E-06	0	1.29E-06	5.04E-07	0	0	k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Egicoccales;f__Egicoccaceae
