name	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23	taxonomy
Granulosicoccaceae	0.000480887	0.000665893	0.000699611	0.000868228	0.001034561	0.001654788	0.000572267	0.000597876	0.000461921	0.000559702	0.00052003	0.000284734	0.000486225	0.000538576	0.000783965	0.001729193	0.00203864	0.001625043	0.000602794	0.000531689	0.000448691	0.000852442	0.000885812	0.00112617	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Granulosicoccaceae
Halothiobacillaceae	4.69E-06	3.00E-06	3.83E-06	2.96E-06	3.49E-06	8.65E-06	3.45E-07	6.17E-06	3.56E-06	4.03E-06	1.04E-05	5.07E-07	5.42E-06	4.61E-06	2.54E-06	9.27E-06	1.46E-05	1.48E-05	2.24E-05	5.85E-06	4.53E-06	9.17E-06	5.64E-06	3.85E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Halothiobacillaceae
Thioalkalibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66E-06	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioalkalibacteraceae
Thioalkalispiraceae	2.81E-05	2.00E-05	1.97E-05	3.43E-05	3.45E-05	7.84E-05	2.55E-05	4.52E-05	0	0	0.000104616	1.15E-05	5.97E-05	0	7.30E-05	0.000115846	9.90E-05	5.25E-05	0.000221846	7.18E-05	0.000120859	0.000464648	6.56E-05	3.52E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioalkalispiraceae
Wenzhouxiangellaceae	0	0	1.64E-06	0	4.37E-07	0	0	0	0	0	6.10E-07	1.69E-07	0	1.02E-06	1.01E-06	7.72E-07	0	8.20E-07	2.24E-06	6.92E-06	5.04E-07	0	0	4.95E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae
Woeseiaceae	0.000192062	0.000261684	0.000225461	0.000270369	0.000481486	0.000260574	0.000238559	0.001215899	0.000191039	4.20E-05	5.43E-05	1.72E-05	0.000709612	0.00035051	0.000562873	0.000381519	0.000357363	0.000406876	0.000496913	0.000534883	0.00039934	0.000239727	0.000161895	0.000163787	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae
Bruguierivoracaceae	0	0	0	0	2.62E-06	0	0	0	3.23E-07	2.52E-07	0	0	1.48E-06	5.12E-07	0	0	7.28E-07	0	0	2.13E-06	1.51E-06	2.12E-06	2.05E-06	1.65E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Bruguierivoracaceae
Budviciaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Budviciaceae
Enterobacteriaceae	0.000963534	0.001469304	0.000958413	0.000829302	0.002640531	0.032471244	0.000632941	0.000319734	0.001815358	0.003301059	0.00476354	0.001184534	0.005651255	0.003888919	0.011078956	0.010229962	0.008989377	0.000729259	0.000378147	0.00031614	0.004381154	0.011051422	0.011890581	0.011035807	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae
Erwiniaceae	0	0	0	0	0	4.81E-06	0	9.75E-07	0	0	0	1.69E-07	0	5.12E-07	1.01E-06	3.09E-06	6.55E-06	9.84E-06	1.12E-06	0	0.000623433	2.82E-06	1.02E-06	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae
Hafniaceae	0	0	0	0	0	0	0	0	0	0	1.83E-06	0	0	0	0	6.33E-05	6.33E-05	1.64E-05	0	0	0	3.53E-06	1.18E-05	1.21E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae
Morganellaceae	6.74E-06	1.23E-05	5.33E-05	0.000203941	0.000103893	0.000116826	3.10E-06	1.33E-05	1.26E-05	5.49E-05	0.000224177	4.97E-05	7.30E-05	1.54E-05	0.000135394	0.000693531	0.000315149	0.000474142	3.42E-05	0.000374152	6.04E-06	3.31E-05	1.79E-05	5.77E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae
Pectobacteriaceae	0	0	0	0	2.18E-06	0	0	0	0	0	6.10E-07	3.38E-07	8.38E-06	0	0	3.09E-06	2.91E-06	0	1.68E-06	2.66E-06	3.02E-06	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae
Yersiniaceae	3.81E-06	6.68E-07	0.000230926	0	3.49E-06	9.62E-07	7.24E-06	5.49E-05	1.29E-06	2.52E-07	9.15E-07	1.18E-06	5.92E-06	1.54E-06	1.52E-06	3.32E-05	3.13E-05	7.38E-06	3.92E-06	5.32E-07	0	1.69E-05	8.71E-06	2.03E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae
Immundisolibacteraceae	8.80E-07	8.68E-06	0	1.27E-06	0	0	5.17E-06	0	2.26E-06	0	1.22E-06	0	2.42E-05	0	0	0	0	0	0	0	0	1.13E-05	0	3.85E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Immundisolibacterales;f__Immundisolibacteraceae
Kangiellaceae	0.000378845	0.000154207	0.000297881	0.009256023	0.00407844	0.002257184	0.000572612	6.40E-05	0.000152896	0.000143513	0.000269928	0.003044086	0.001763428	0.000647214	0.000468553	0.010436167	0.013171465	0.009909396	0.000910354	0.000540737	0.000935653	0.000455482	0.000605057	0.000583146	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Kangiellales;f__Kangiellaceae
Coxiellaceae	0	0	0	0	0	0	0	0	0	0	0	3.38E-07	0	0	0	3.86E-06	0	0	0	0	0	7.05E-07	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae
Legionellaceae	1.76E-06	2.67E-06	2.46E-06	2.96E-06	2.75E-05	0.000113941	2.76E-06	1.95E-06	0	3.52E-06	2.75E-06	8.44E-07	0	2.56E-06	5.07E-07	4.32E-05	8.73E-06	2.46E-05	2.80E-06	1.06E-06	0	3.53E-05	5.07E-05	3.79E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae
Methylococcaceae	5.86E-06	9.01E-06	5.47E-06	7.19E-06	4.80E-06	6.73E-06	5.17E-06	7.80E-06	3.56E-06	7.55E-07	5.19E-06	2.53E-06	7.89E-06	8.71E-06	6.59E-06	2.55E-05	0.000155027	3.69E-05	4.48E-06	1.44E-05	1.46E-05	3.24E-05	1.38E-05	1.15E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae
Methylothermaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000189603	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylothermaceae
Moraxellaceae	0.000341606	0.000182912	0.000261808	9.01E-05	5.46E-05	0.000165863	0.000500906	9.98E-05	0.000595422	0.000181784	0.000303478	0.000187627	0.000314123	0.000659512	0.000467539	0.000539069	0.004781088	0.000974533	0.000262742	0.001551426	0.000239201	0.000939166	0.000247966	0.000320428	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae
Sinobacteraceae	0	0	6.56E-06	0	0	0	3.45E-07	0	0	0	0	0	0	0	0	0	1.46E-06	0	0	0	0	7.05E-07	9.22E-06	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Sinobacteraceae
