GeneFamily	AD12	AD22	AD32	CK12	CK22	CK32
K12369	1.466	5.406	4.26	2.193	4.988	20.278
K12370	3.181	8.527	6.054	7.328	20.85	35.527
K12371	3.063	0	3.402	1.229	0	11.633
K12372	0	0	1.069	1.421	2.911	1.029
K12373	6.132	16.88	11.078	7.281	13.18	24.994
K12410	37.027	26.711	28.816	14.038	22.503	19.79
K12452	0.191	0	0	0	0	0
K12454	4.665	0	0.766	1.181	7.601	6.094
K12506	78.895	41.097	40.837	1.004	24.459	26.368
K12507	0	0	0	0	0	0.879
K12510	192.636	147.719	175.212	19.304	55.947	82.056
K12511	111.54	63.108	66.602	5.797	51.235	35.722
K12519	0	0	0	0	0	0.729
K12524	43.195	49.556	48.894	24.066	51.246	61.387
K12525	7.381	0	6.782	0	0	0.386
K12526	0	0	0.721	0.309	0.6	0.548
K12527	0	0	0	0	0.433	0
K12541	63.732	63.988	111.292	16.026	22.552	23.897
K12542	124.349	97.507	118.793	17.628	33.419	46.317
K12543	39.163	50.493	85.138	11.494	17.808	19.459
K12573	74.836	97.554	81.888	48.249	95.851	108.352
K12574	128.714	100.59	131.239	16.474	41.447	45.473
K12582	0	0	0	0	0	1.893
K12585	9.237	17.11	15.534	13.93	23.268	21.336
K12589	0	0	0	0	3.294	0
K12658	24.73	34.843	23.17	15.159	55.672	62.798
K12660	0	0	0	0	0	1.345
K12678	0	0	0	0	0	0.352
K12684	0	0	0	0	0	0.12
K12700	0	0	0	0	0	1.15
K12834	0.288	0	0	0	0	0
K12940	0	0	0	0	0	1.137
K12941	19.374	31.167	24.833	12.884	46.619	46.802
K12942	51.318	32.7	34.435	8.064	4.419	19.938
K12943	0	0	0	0	0	2.177
K12944	0	0	0	0	0	1.591
K12953	0	0	0	0	0	4.968
K12957	0	0	0	0	0	0.506
K12960	0	0	1.846	3.377	0.606	0.373
K12961	23.783	18.743	20.797	2.514	6.357	0
K12962	0	0	0	0	0	2.356
K12972	4.048	2.399	1.855	0	0	0.558
K12975	0	0	0	0	0	0.845
K12979	0	0	0	215.866	32.4	17.863
K12982	0.217	0.524	1.041	0.977	2.701	0.472
K12989	8.986	6.311	6.591	0.946	3.442	0.985
K12990	0	1.583	0.343	0.6	0	0
K13010	0	2.956	0	0	0	0
K13012	0	0	2.764	0	0	0
K13016	16.487	21.755	21.54	2.004	4.074	6.926
K13018	25.799	22.127	12.539	4.762	10.33	8.978
K13020	0	3.816	1.145	0	0	0
K13038	90.327	78.883	66.968	19.724	61.207	53.72
K13039	147.71	83.496	61.101	14.957	46.638	72.549
K13040	11.073	6.781	7.345	0.536	0.658	0
K13041	21.983	13.704	14.77	0.268	0	0
K13043	8.655	22.159	20.327	15.394	28.131	40.779
K13051	5.856	12.21	13.595	27.825	41.943	20.065
K13053	1.148	1.538	0	2.574	1.046	0
K13061	1.525	0	1.626	0	0	0
K13069	0	0	0	0	0	0.859
K13238	3.884	8.847	8.332	2.072	6.506	15.236
K13252	1.407	0	0	0.902	0	0
K13256	0	0.645	2.611	1.081	0	10.089
K13280	0	0	0	0	3.241	0
K13282	0	3.417	3.465	4.373	2.649	6.317
K13283	1.469	0.623	2.127	0.197	0	4.628
K13288	33.503	28.825	27.971	6.18	14.364	0
K13292	126.599	74.611	78.05	13.757	39.905	48.183
K13378	0	0	0	0	0	0.531
K13381	0	0	0	0	0	0.197
K13408	0	2.14	0	0	0	0
K13409	0.101	0	0	0	0	0
K13479	0	0	0	0	0	1.207
K13481	119.11	96.102	139.41	23.883	50.299	57.202
K13482	30.965	34.814	38.804	42.309	59.031	56.961
K13483	0	1.985	0.358	0.822	0	1.629
K13497	0	0	0	0	0	0.304
K13498	0.755	11.419	1.545	1.374	0	1.455
K13525	1.582	0	2.689	4.332	13.773	3.94
K13527	6.413	5.535	2.535	7.718	49.092	71.66
K13529	0	0.343	0.721	0.23	0	0
K13566	0	0	0	0	0.563	2.984
K13571	19.328	20.25	6.562	14.006	114.085	145.272
K13574	0	0	0	0	0	0.47
K13581	40.474	66.398	102.36	43.636	101.76	106.713
K13583	146.89	149.798	207.983	33.253	56.69	77.333
K13584	235.821	191.098	206.151	49.868	177.167	201.68
K13587	15.814	0	8.464	5.41	22.738	29.217
K13588	82.691	56.946	39.232	2.339	15.342	30.616
K13589	9.224	5.848	3.569	0.699	15.95	14.061
K13590	1.143	1.027	2.344	1.175	1.735	0.356
K13598	8.159	0	4.325	1.53	4.055	0.209
K13599	152.451	128.032	140.269	32.999	74.791	70.417
K13628	240.526	244.29	260.323	81.49	202.215	218.087
K13634	41.277	17.613	25.905	9.791	1.28	3.096
K13636	0	0.649	0.703	0	0	0
K13637	0	0	0	0	0	0.705
K13638	0.565	0	0	0.422	0	3.181
K13639	30.645	42.533	80.758	15.165	10.246	35.913
K13640	4.328	1.974	1.798	0	0	6.945
K13641	8.933	5.55	4.376	0.844	7.084	7.29
K13643	141.485	115.903	157.703	30.7	71.856	54.564
K13652	0	0.328	1.966	0.415	0	0
K13654	0	0	0	0	0	0.933
K13693	13.559	51.802	77.25	14.199	19.619	14.493
K13694	0.6	0	0	0	0	3.741
K13695	0	0	0	0	0	1.449
K13746	66.405	39.365	46.582	3.268	4.011	3.747
K13747	33.538	23.279	21.986	3.171	11.24	9.874
K13766	181.155	132.727	124.292	62.299	150.567	108.367
K13771	95.834	48.726	45.569	5.275	23.651	55.606
K13774	0	0.33	0.178	1.251	0	0
K13775	0	0.35	2.533	3.476	1.07	0
K13778	0	2.858	0	0.816	1.971	0.9
K13779	0	0.701	0	1.556	0	0
K13787	0	0	0	1.607	3.425	8.007
K13788	17.291	21.707	19.289	8.759	21.928	28.497
K13789	10.05	18.268	18.118	20.928	41.597	35.414
K13795	0	0	0	0.326	0	0
K13796	5.471	4.923	2.911	4.002	5.68	13.541
