Taxonomy	CK_Day10	CK_Day25	AOM_Day10	AD_Day10	AOM_Day25	AD_Day25
OTU604	1	0	0	0	0	0
OTU605	0	0	0	1	0	0
OTU606	0	0	0	0	1	1
OTU607	1	1	1	1	1	1
OTU608	0	0	0	0	1	0
OTU609	0	0	1	1	0	0
OTU610	1	1	1	1	1	1
OTU611	1	1	0	1	1	1
OTU612	1	1	0	0	1	0
OTU613	1	0	1	0	0	0
OTU614	1	1	0	1	0	1
OTU615	0	0	0	1	0	0
OTU616	1	1	1	1	1	1
OTU617	0	0	0	0	1	1
OTU618	0	1	0	0	0	1
OTU619	0	0	1	0	1	0
OTU620	1	1	1	1	0	1
OTU621	1	0	0	0	0	0
OTU622	1	1	0	0	0	1
OTU623	0	1	0	0	1	1
OTU624	1	0	0	1	1	0
OTU625	1	0	0	0	0	0
OTU626	0	1	1	1	0	1
OTU627	1	1	1	1	1	1
OTU628	1	0	1	1	1	0
OTU629	0	0	0	0	1	0
OTU630	0	0	0	0	1	1
OTU631	1	0	1	1	0	0
OTU632	1	0	1	0	1	0
OTU633	1	1	1	1	1	0
OTU634	1	1	0	1	0	0
OTU635	1	1	1	1	0	1
OTU636	0	0	0	0	1	0
OTU637	0	1	0	1	0	1
OTU638	1	0	0	0	0	0
OTU639	1	1	1	0	1	1
OTU640	0	1	0	0	0	0
OTU641	0	1	1	1	0	1
OTU642	1	0	1	1	1	1
OTU643	0	1	0	0	0	0
OTU644	0	1	0	0	0	1
OTU645	1	0	0	0	1	0
OTU646	1	0	0	0	0	1
OTU647	0	1	1	0	1	0
OTU648	1	1	1	1	1	1
OTU649	1	1	0	0	1	0
OTU650	1	1	1	0	1	1
OTU651	0	1	1	1	0	1
OTU652	0	1	0	0	0	1
OTU653	1	1	1	1	1	1
OTU654	0	1	0	0	1	1
OTU655	0	0	0	0	1	0
OTU656	1	1	1	1	1	1
OTU657	0	1	0	0	1	0
OTU658	0	0	0	1	0	0
OTU659	1	1	0	1	0	1
OTU660	1	1	1	1	1	1
OTU661	1	0	0	0	0	0
OTU662	0	1	1	1	1	0
OTU663	0	0	1	1	1	1
OTU664	0	0	1	1	1	1
OTU665	0	0	0	0	1	0
OTU666	0	0	1	1	0	1
OTU667	0	0	0	0	1	1
OTU668	1	0	0	0	1	0
OTU669	1	0	0	0	1	0
OTU670	1	0	1	0	0	0
