#OTUID	CK12	DA21	CK31	DA23	DA13	DA12	A11	AD32	A21	CK21	AD22	CK22	AD21	AD12	DA22	A23	CK23	AD33	AD31	DA11	CK33	AD23	A22	AD11	AD13	CK13	A13	A12	CK11	CK32
NCBI1703340	134	224	89	503	194	96	52	124	210	583	21	268	24	171	796	328	428	216	27	128	60	64	677	198	63	150	120	143	241	10
NCBI1703937	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1704044	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1704238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NCBI1705	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NCBI1705310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI170573	0	0	1	1	0	1	0	1	0	0	2	0	0	0	0	2	0	0	0	0	2	1	0	0	0	4	8	0	0	0
NCBI170651	3	0	1	0	0	0	6	0	1	0	0	0	1	30	0	0	0	0	0	5	1	2	0	1	0	0	12	13	0	0
NCBI170673	82	7	702	10	110	34	1126	645	660	9	762	2	1346	436	7	71	23	67	363	17	650	1554	185	738	1119	80	635	656	537	159
NCBI170679	15	3	14	0	21	6	340	3	23	0	13	1	8	83	0	8	0	2	4	17	5	57	11	105	670	46	143	87	214	0
NCBI1707785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1709477	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1710	0	0	0	0	0	0	43	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0
NCBI1712261	0	171	29	219	95	0	26	58	7	34	28	0	47	23	180	17	18	100	180	0	80	21	17	0	62	0	0	31	36	54
NCBI1712516	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1712675	55	435	576	770	164	94	124	595	882	220	843	265	1279	114	560	1418	298	608	732	80	1233	1006	2540	101	75	142	83	44	0	586
NCBI171437	0	0	0	0	122	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	140	146	0	0	0	0
NCBI1714373	0	9	9	88	31	0	310	0	37	37	20	13	90	0	78	26	0	19	22	36	75	14	45	0	111	0	32	0	0	7
NCBI1714845	9	23	5	6	6	8	93	5	13	7	4	19	7	24	5	5	5	6	5	0	2	8	0	19	33	11	28	23	10	8
NCBI1714848	34	12	4	17	26	31	43	0	51	16	42	8	16	26	14	22	23	8	3	29	7	45	30	31	47	22	57	28	21	3
NCBI1714849	212	125	51	378	201	166	273	26	429	287	281	353	163	320	119	159	350	84	27	129	75	333	526	340	236	200	287	221	226	52
NCBI1714860	62	6	0	15	50	91	37	0	4	42	2	11	4	31	10	0	8	0	4	162	0	5	4	52	91	69	45	32	24	1
NCBI1715691	0	1	1	0	0	0	2	0	1	1	1	1	0	2	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0
NCBI1715860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
NCBI1715989	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
NCBI1716543	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
NCBI1717717	74	754	881	1895	120	59	397	1387	3053	654	8624	476	3672	510	429	7439	458	3295	1545	71	1813	4070	3881	622	666	68	388	387	181	6018
NCBI1718	0	0	0	17	0	0	0	23	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	15
NCBI171865	73	10	3	16	126	71	47	2	9	11	4	9	11	23	8	0	0	11	5	66	0	2	0	31	30	66	36	48	46	25
NCBI1719132	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NCBI171953	629	3757	952	2946	630	774	192	2510	381	3421	1764	2954	2123	277	2609	4705	2474	5047	4831	675	2183	499	1272	208	212	615	320	222	786	2986
NCBI1719826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NCBI1719943	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1720083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
NCBI1720343	2	0	0	0	0	0	0	3	3	4	0	0	3	27	4	0	9	0	0	3	4	5	7	7	9	18	33	13	19	4
NCBI1720344	0	0	0	0	0	0	96	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI172042	0	6	0	1	0	0	0	6	2	0	0	4	0	0	2	0	0	4	0	0	3	3	2	0	0	0	0	0	0	0
NCBI172043	0	0	0	0	66	0	0	31	0	108	0	38	0	0	37	0	0	0	8	66	10	11	8	77	0	113	0	99	338	79
NCBI172045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
NCBI1721	0	0	0	0	0	0	0	4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1721091	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1723645	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI172371	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1725	0	64	49	60	28	0	0	17	39	52	19	8	96	480	36	238	66	51	17	0	37	29	65	45	0	0	0	17	42	55
NCBI1725411	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1727	0	0	0	57	0	0	86	15	56	21	0	46	27	0	46	36	23	13	47	0	27	0	135	0	0	0	0	0	68	40
NCBI172713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
NCBI1727145	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1727163	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0
NCBI1727196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NCBI172827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NCBI1729720	703	258	72	79	149	142	146	118	981	171	379	91	394	91	87	307	120	0	87	34	95	461	566	90	108	101	193	164	137	0
NCBI173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1731	1	0	9	0	2	0	1360	5	1	0	9	0	11	2104	0	3	0	18	32	0	48	39	0	1706	2157	0	2146	948	0	70
NCBI173366	8	5	9	22	0	10	9	10	8	0	11	16	13	4	20	34	28	16	13	23	11	12	12	4	7	5	0	3	0	19
NCBI1734049	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
NCBI173480	0	0	3	0	0	0	1	3	1	0	0	0	1	0	0	0	0	2	4	0	4	0	0	1	0	0	0	0	0	2
NCBI1735038	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1735162	0	5	4	1	0	0	0	5	0	1	0	1	0	0	2	1	1	13	3	0	3	0	1	0	0	0	0	0	0	1
NCBI173560	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
NCBI1736	0	1	0	0	0	0	0	0	0	15	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1736046	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
